School Year,School Authority Category,School Authority Name,School Authority Code,Ungraded,ECS,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total
2008/2009,Francophone,Greater North Central Francophone Education Region No. 2 ,8040,,292,240,223,245,233,202,209,192,186,171,152,119,121,2585
2008/2009,Francophone,Northwest Francophone Education Region No. 1 ,8050,,38,34,31,23,29,28,30,21,27,22,13,10,22,328
2008/2009,Francophone,East Central Francophone Education Region No. 3 ,8060,,81,48,52,50,48,52,44,57,37,41,43,35,24,612
2008/2009,Charter,Foundations for the Future Charter Academy Charter School Society ,0009,,268,260,263,260,230,238,235,207,176,165,108,93,58,2561
2008/2009,Charter,Suzuki Charter School Society ,0012,,40,39,40,36,38,21,19,,,,,,,233
2008/2009,Charter,Calgary Science School Society ,0045,,,,,,100,99,100,100,100,100,,,,599
2008/2009,Charter,Westmount Charter School Society ,0109,,66,74,67,79,90,86,93,101,91,91,81,85,51,1055
2008/2009,Charter,Calgary Arts Academy Society ,0151,,47,50,38,51,49,33,38,35,38,25,,,,404
2008/2009,Charter,Calgary Girls' School Society ,0152,,,,,,80,92,97,125,125,84,,,,603
2008/2009,Charter,Mother Earth's Children's Charter School Society ,0154,,12,21,15,13,11,12,8,9,12,,,,,113
2008/2009,Charter,Valhalla Community Charter School ,0224,,10,10,8,9,2,8,6,,,,,,,53
2008/2009,Charter,New Horizons Charter School Society ,6015,,22,16,22,22,21,18,19,13,11,12,,,,176
2008/2009,Charter,Boyle Street Education Centre ,6017,,,,,,,,,,,,73,35,12,120
2008/2009,Charter,CAPE - Centre for Academic and Personal Excellence Institute ,6019,,14,17,14,15,11,15,14,10,23,,,,,133
2008/2009,Charter,Aurora School Ltd. ,6020,,30,51,47,40,41,41,40,41,32,41,,,,404
2008/2009,Charter,Almadina School Society ,6021,,90,89,80,88,66,62,72,59,61,39,,,,706
2008/2009,Private,The Chinese Academy Foundation ,0010,,,,,,,,,,,,2,2,3,7
2008/2009,Private,Webber Academy Foundation ,0015,,65,55,65,60,59,62,62,70,71,72,64,37,41,783
2008/2009,Private,Tween Valley Fellowship/Tween Valley Christian School ,0016,,,3,1,1,6,4,5,2,5,5,3,1,,36
2008/2009,Private,Third Academy International Ltd. ,0023,,,9,9,12,10,16,26,25,33,25,28,21,20,234
2008/2009,Private,Janus Academy Society ,0025,,,3,7,3,4,7,1,3,1,3,1,3,1,37
2008/2009,Private,Strome Early Childhood Services Society ,0028,,5,,,,,,,,,,,,,5
2008/2009,Private,Independent Baptist Christian Education Society ,0030,,2,,7,4,6,7,8,5,8,6,11,8,3,75
2008/2009,Private,Montessori Education Preschool & ECS Institute of Alberta ,0031,,71,,,,,,,,,,,,,71
2008/2009,Private,Mountain View Academy Society ,0035,,6,4,7,8,6,7,9,12,8,8,15,9,9,108
2008/2009,Private,The Timothy Centre for Scholarship Ltd. ,0040,,,29,25,20,28,25,19,18,13,8,21,18,16,240
2008/2009,Private,Centre for Autism Services Alberta ,0049,,1,,,,,,,,,,,,,1
2008/2009,Private,Sino-Canada Culture Association ,0055,,,,,,,,,,,,,1,,1
2008/2009,Private,The First Step Adult Education Center ,0059,,,,,,,,,,,,7,18,18,43
2008/2009,Private,Banbury Crossroads School Society ,0062,,5,1,,2,1,3,4,1,2,2,2,3,8,34
2008/2009,Private,Playcare ECS Ltd. ,0071,,24,,,,,,,,,,,,,24
2008/2009,Private,Slave Lake Koinonia Christian School Society ,0072,,4,3,2,2,3,2,2,4,2,2,2,3,2,33
2008/2009,Private,The Edge School For Athletes Society ,0074,,,,,,,,14,46,40,36,44,46,35,261
2008/2009,Private,Church of God in Christ Mennonite Rosedale Congregation ,0076,,,3,3,1,6,4,4,10,4,2,,,,37
2008/2009,Private,New Heights Early Learning Services Society ,0077,,17,,,1,4,1,3,3,1,1,,,,31
2008/2009,Private,Eastside City Church ,0083,,8,6,6,10,5,6,6,7,7,9,7,12,4,93
2008/2009,Private,The Heart Valley Church of God in Christ Mennonite ,0085,,,4,4,3,2,2,2,1,1,1,,,,20
2008/2009,Private,Wetaskiwin Head Start Society ,0103,,12,,,,,,,,,,,,,12
2008/2009,Private,Ben Calf Robe Society ,0105,,43,,,,,,,,,,,,,43
2008/2009,Private,"Children's Services Centre, An Alberta Society ",0106,,57,,,,,,,,,,,,,57
2008/2009,Private,Green Learning Academy ,0107,,24,9,10,3,9,6,7,7,4,2,,,,81
2008/2009,Private,Foothills Alliance Kindergarten Society ,0108,,25,,,,,,,,,,,,,25
2008/2009,Private,Calgary Preparatory School Association ,0111,,36,,,,,,,,,,,,,36
2008/2009,Private,Early Discoveries Childhood Services Ltd. ,0112,,81,,,,,,,,,,,,,81
2008/2009,Private,Edmonton Khalsa School Educational Association ,0116,,40,30,28,18,12,20,8,5,,,,,,161
2008/2009,Private,Manyberries Private Kindergarten Society ,0117,,2,,,,,,,,,,,,,2
2008/2009,Private,Headway School Society of Alberta ,0118,,33,33,27,24,27,21,24,21,18,16,13,12,12,281
2008/2009,Private,Department of Speech Pathology and Audiology University of Alberta ,0128,,14,,,,,,,,,,,,,14
2008/2009,Private,Vermilion and Area Brighter Beginnings Society ,0132,,19,,,,,,,,,,,,,19
2008/2009,Private,Yufeng Chinese School Centre ,0137,,,3,4,2,1,4,1,,1,1,2,2,3,24
2008/2009,Private,St. Albert Parents' Place Association ,0138,,20,,,,,,,,,,,,,20
2008/2009,Private,Yellowhead Koinonia Christian School Society ,0141,,9,11,10,11,11,3,6,14,7,2,5,1,,90
2008/2009,Private,Learning and Enrichment for Autism Disorders Foundation (L.E.A.D.) ,0143,,30,,,,,,,,,,,,,30
2008/2009,Private,H. Sienkiewicz Polish School Parent Association ,0149,,,,,,,,,,,,1,2,,3
2008/2009,Private,Calgary Urban Project Society ,0155,,43,,,,,,,,,,,,,43
2008/2009,Private,Bent Arrow Traditional Healing Society ,0157,,8,,,,,,,,,,,,,8
2008/2009,Private,Edmonton City Centre Church Corporation ,0159,,71,,,,,,,,,,,,,71
2008/2009,Private,International School of Excellence (ISE) ,0161,,18,8,20,9,10,7,7,11,5,10,15,11,15,146
2008/2009,Private,German Language School Society of Edmonton ,0163,,,,,,,,,,,,1,2,1,4
2008/2009,Private,Calgary Chinese Alliance School Society ,0164,,,,,,,,,,,,,3,1,4
2008/2009,Private,Sunchild E-Learning Community ,0169,,,,,,,,,,,1,9,1,245,256
2008/2009,Private,The Canadian Montessori School Ltd. ,0170,,74,,,,,,,,,,,,,74
2008/2009,Private,Behaviour Therapy and Learning Centre Ltd. ,0171,,6,,,,,,,,,,,,,6
2008/2009,Private,Gabriela Mistral Latin American Society ,0173,,,1,,1,,,,,,1,,,,3
2008/2009,Private,Olds Kindergarten Society ,0174,,8,,,,,,,,,,,,,8
2008/2009,Private,Phoenix Home Education Foundation ,0175,,21,24,17,20,16,17,10,16,12,14,16,10,5,198
2008/2009,Private,Okotoks Montessori Preschool Society ,0176,,24,,,,,,,,,,,,,24
2008/2009,Private,Access International College (Calgary) Incorporated ,0178,,,,,,,,,,,,,3,1,4
2008/2009,Private,The Gray House Guild ,0182,,16,,,,,,,,,,,,,16
2008/2009,Private,Kirriemuir Altario Compeer School Project Society ,0193,,5,,,,,,,,,,,,,5
2008/2009,Private,I'm For Kids Team Ltd. ,0194,,172,,,,,,,,,,,,,172
2008/2009,Private,Children's Autism Services of Edmonton ,0197,,4,,,,,,,,,,,,,4
2008/2009,Private,Mrs. P's Place Kindergarten Society ,0201,,15,,,,,,,,,,,,,15
2008/2009,Private,The Filipino Canadian Saranay Association of Alberta ,0202,,,,,,,,,,,,1,,2,3
2008/2009,Private,Khalsa School Calgary Educational Foundation ,0207,,31,17,18,16,13,13,7,,,,,,,115
2008/2009,Private,Genesis Protestant Reformed School Society of Lacombe ,0208,,,,2,1,,1,1,,,,,,,5
2008/2009,Private,Dalhousie Community Kindergarten Society ,0209,,7,,,,,,,,,,,,,7
2008/2009,Private,Aurora Learning Foundation ,0210,,,,,,,,2,2,2,1,3,3,3,16
2008/2009,Private,Aurora Learning Foundation (Calgary) ,0211,,,,,,,2,2,1,2,1,1,4,,13
2008/2009,Private,Maria Montessori Education Centre Ltd. ,0212,,21,9,9,8,5,3,2,,,,,,,57
2008/2009,Private,Tanbridge Academy ,0213,,,,,,3,9,12,14,9,,,,,47
2008/2009,Private,Montessori Projects of Alberta Ltd. ,0215,,11,,,,,,,,,,,,,11
2008/2009,Private,Woodpark Montessori Society ,0220,,5,,,,,,,,,,,,,5
2008/2009,Private,Atlas Learning Academy Ltd. ,0221,,1,,,,,,,,,,,,,1
2008/2009,Private,Bindloss Kindergarten ,0222,,3,,,,,,,,,,,,,3
2008/2009,Private,Airdrie Foundation Four Early Childhood Intervention ,0223,,22,,,,,,,,,,,,,22
2008/2009,Private,Diaspora Educational Society ,0227,,,,,,,,,,,,1,,,1
2008/2009,Private,"St. Matthew Evangelical Lutheran Church of Stony Plain, Alberta ",9018,,26,21,8,7,12,11,9,10,6,10,,,,120
2008/2009,Private,The Rocky Christian School Society ,9022,,13,9,8,12,8,14,10,11,15,13,,,,113
2008/2009,Private,Canadian University College ,9024,,,,,,,,,,,,29,37,48,114
2008/2009,Private,The Lacombe Christian School Society ,9025,,21,25,35,38,35,35,32,52,40,42,,,,355
2008/2009,Private,Parkland Community Living and Supports Society ,9027,,,,,1,1,,1,3,5,7,6,10,9,43
2008/2009,Private,The Society for Christian Education in Southern Alberta ,9041,,45,39,47,43,56,41,59,43,56,49,44,43,51,616
2008/2009,Private,Coaldale Canadian Reformed School Society ,9042,,11,7,10,8,13,12,10,9,13,14,10,8,10,135
2008/2009,Private,Cornerstone Christian School Society ,9045,,3,2,4,5,4,4,4,4,7,6,,,,43
2008/2009,Private,Concordia University College of Alberta ,9052,,,,,,,,,,,,37,20,95,152
2008/2009,Private,Tempo School ,9059,,32,39,39,35,35,39,34,28,29,21,12,20,13,376
2008/2009,Private,Red Deer College Alumni Association ,9066,,14,,,,,,,,,,,,,14
2008/2009,Private,River Valley School Society ,9071,,21,43,23,31,20,25,21,,,,,,,184
2008/2009,Private,Strathcona-Tweedsmuir School ,9072,,,30,32,38,41,44,45,69,74,74,80,78,67,672
2008/2009,Private,Centro Linguistico E Culturale Italiano Calgary ,9076,,,,,,,,,,,1,1,,,2
2008/2009,Private,Canadian Reformed School Society of Neerlandia ,9078,,17,17,18,18,14,12,13,9,16,11,9,11,5,170
2008/2009,Private,Canadian Reformed School Society of Edmonton ,9092,,22,19,24,13,24,11,10,12,11,14,12,17,10,199
2008/2009,Private,Bearspaw Christian School Society ,9106,,56,44,38,35,38,37,43,41,42,46,18,36,30,504
2008/2009,Private,Foothills Academy Society ,9107,,,,,,5,10,22,31,27,29,23,26,21,194
2008/2009,Private,Calvin Christian School Society of the Netherlands Reformed Congregations ,9112,,77,64,74,73,65,71,62,51,60,56,51,49,46,799
2008/2009,Private,GCA Educational Society ,9118,,72,,,,,,,,,,,,,72
2008/2009,Private,Destiny Christian School Society ,9127,,18,17,11,10,11,13,8,10,10,6,,,,114
2008/2009,Private,The Calgary Society for Effective Education of Learning Disabled ,9131,,,,3,11,36,31,65,70,77,91,84,75,70,613
2008/2009,Private,West Island College Society of Alberta ,9140,,,,,,,,,101,76,78,73,64,80,472
2008/2009,Private,"Evangelical Free Church of Champion, Alberta ",9146,,,114,53,59,73,69,64,44,20,24,14,3,3,540
2008/2009,Private,Congregation House of Jacob - Mikveh Israel ,9147,,13,7,5,5,,1,1,,,,,,,32
2008/2009,Private,Edmonton Bible Heritage Christian School & College Society ,9153,,,,2,1,,,2,2,1,,,,,8
2008/2009,Private,Countryside Christian School ,9154,,,3,2,9,2,8,2,4,10,9,,,,49
2008/2009,Private,Kneehill Christian School ,9159,,,4,7,11,5,5,6,7,8,9,,,,62
2008/2009,Private,Northern Lights School Education Foundation ,9160,,,4,1,2,3,2,1,1,2,2,,,,18
2008/2009,Private,Ponoka Christian School Society ,9167,,11,3,7,9,4,6,5,8,4,2,,,,59
2008/2009,Private,Hillcrest Christian School Society ,9171,,4,3,6,2,4,6,2,2,6,3,6,4,3,51
2008/2009,Private,Edmonton Academy Society for Learning Disabled ,9172,,,,,,,,5,4,,6,13,9,16,53
2008/2009,Private,Lycee Louis Pasteur Society ,9173,,116,37,30,31,21,21,27,5,15,14,,,,317
2008/2009,Private,Rocky View Mennonite Church ,9200,,,5,,4,2,5,2,3,6,1,,,,28
2008/2009,Private,Saddle Lake Indian Full Gospel School Mission ,9208,,,4,6,3,9,2,3,4,3,9,8,3,1,55
2008/2009,Private,Koinonia Christian School - Red Deer Society ,9211,,24,16,16,16,15,17,22,17,15,16,16,13,9,212
2008/2009,Private,The Old Sun Society ,9218,,,,,,,,,,,,28,15,63,106
